Time,Epoch,Fp1,FP2,F3,Fz,F4,T7,C3,Cz,C4,T8,P3,Pz,P4,PO7,PO8,Oz,Event Id,Event Date,Event Duration
0,0,-8.00E-10,-8.00E-10,-8.00E-10,-8.00E-10,-8.00E-10,-8.00E-10,-8.00E-10,-8.00E-10,-8.00E-10,-8.00E-10,-8.00E-10,-8.00E-10,-8.00E-10,-8.00E-10,-8.00E-10,-8.00E-10,,,
0.004,0,0.16736133,0.346822196,0.123468289,0.92996623,0.318244014,-0.109464964,-0.065763995,0.064715619,-0.096465654,-0.374094681,0.661432673,0.280774521,0.451518849,1.305816167,0.160612811,0.515866454,,,
0.008,0,0.950539354,1.968512482,0.645493938,5.600565401,1.753483943,-0.814828881,-0.61083208,0.224539448,-0.776025757,-2.452311512,3.980693325,1.567194476,2.478127324,7.894060686,0.935259009,2.960585188,,,
0.012,0,2.230299816,4.77583571,1.279345827,15.24666555,3.970659476,-2.918366912,-2.700778367,-0.164797755,-3.021965424,-7.559302185,10.73576518,3.663791053,5.696116429,21.5902444,2.391877682,7.339364134,,,
0.016,0,2.445939213,6.262454973,0.688032969,25.65269297,4.223801529,-6.902970014,-7.717038996,-2.535239214,-7.706410578,-15.16093934,17.46841119,4.314646343,6.743118518,36.45375113,3.568858251,10.13198899,,,
0.02,0,-0.134926523,3.990286603,-2.25868338,31.66408813,0.047584165,-12.57420945,-16.34918291,-7.628615308,-14.67055686,-23.40503817,19.63516524,1.336895015,3.025360327,44.83934264,3.514854467,7.788144692,,,
0.024,0,-5.4014451,-1.476898171,-7.035718496,33.15955201,-7.659899594,-19.47615841,-27.86689643,-14.33861917,-22.49782643,-31.05549631,16.42771189,-4.940264929,-3.915683032,46.06435742,2.567233018,0.958124057,,,
0.028,0,-11.53064507,-7.651038743,-11.85511788,32.83678688,-15.81095262,-27.27635015,-40.25118853,-20.64894358,-29.32505668,-37.67244366,9.927450035,-12.6261792,-10.87376256,44.11278417,1.87760786,-7.019514166,,,
0.032,1,-16.61836471,-12.59476146,-14.98997592,31.89034744,-21.85993948,-35.46361655,-50.93732914,-25.16120789,-34.02223474,-42.9030491,2.070357237,-20.24741018,-16.31216258,41.74434628,2.285038359,-13.55385151,,,
0.036,1,-19.60595251,-15.58898753,-15.55053625,30.26673942,-24.53226042,-42.82781583,-57.80680411,-27.47661696,-36.67355475,-46.56397836,-5.86725753,-27.04692938,-20.24625935,39.79482503,3.967451799,-17.58138822,,,
0.04,1,-20.13115273,-16.66388662,-13.51034605,28.52590753,-23.31405845,-47.55809404,-60.00340858,-27.74342379,-37.95536275,-48.83416641,-12.70162638,-32.44946636,-22.84089155,38.51723546,6.54133811,-19.00749815,,,
0.044,1,-18.17691518,-16.12323351,-9.277635573,27.84849613,-18.32286555,-48.09652619,-58.03870108,-26.23955569,-38.20343409,-49.88530051,-17.56122796,-35.92785767,-24.02819909,37.48975788,9.122453062,-18.51552312,,,
0.048,1,-13.99421911,-14.13113828,-3.256442509,29.02519382,-10.51706134,-44.07857936,-53.15454738,-23.227013,-37.21053057,-49.60510107,-20.31818611,-37.24419927,-23.8523373,35.4346245,10.61890458,-17.27835707,,,
0.052,1,-8.156079873,-10.53743525,4.15318964,31.95311251,-1.588961157,-36.64363499,-46.60368108,-18.99259496,-34.72779873,-47.93675385,-21.63963721,-36.76395921,-22.78589518,31.03041394,10.37997895,-16.31772093,,,
0.056,1,-1.530453198,-5.199925707,12.24381505,35.70041083,6.621054342,-27.91529219,-39.38620988,-13.93554848,-30.82521848,-45.33623368,-22.85532762,-35.58357394,-21.75952741,23.71486113,8.614640544,-16.09044806,,,
0.06,1,4.9203443,1.582649968,20.03138208,38.90512699,12.90331752,-19.97388136,-32.24070468,-8.468768588,-25.71867133,-42.63186166,-25.50789158,-35.1009716,-21.71088541,13.90587214,6.095091236,-16.44525615,,,
0.064,2,10.48711987,9.036597283,26.85760812,40.47398581,17.18951009,-13.95717626,-25.49766449,-2.737398632,-19.4497193,-40.27812427,-30.41934634,-36.13669593,-22.82449103,2.973037924,3.498545874,-16.74039556,,,
0.068,2,14.97190595,16.12947168,32.9234042,40.20755654,20.45401038,-9.817697176,-18.96306985,3.395251202,-11.88711188,-37.75235527,-36.95659446,-38.38156031,-24.22633033,-7.111451499,1.043378583,-16.23079652,,,
0.072,2,18.61249062,21.68995324,39.02757451,38.85826491,24.0812573,-6.72127999,-12.25094901,9.848037553,-3.094012737,-33.83708533,-43.34276479,-40.68591672,-24.60548033,-14.66188087,-1.436471322,-14.71577777,,,
0.076,2,21.75890025,24.62265794,45.63248369,37.60172075,29.10791425,-3.678016468,-5.403783146,15.87706868,6.292733117,-27.61677944,-47.84567617,-41.84475721,-23.20853266,-19.17759218,-4.222216795,-12.87558286,,,
0.08,2,24.57483624,24.50027523,52.11965806,37.26646338,35.71120101,-0.082113916,0.903576375,20.40968833,15.09426011,-19.21254504,-49.86795239,-41.24139263,-20.26526702,-21.5099558,-7.391910616,-11.81488186,,,
0.084,2,26.94360418,22.12742648,56.97115279,37.73457485,43.14176929,4.039065905,5.919641148,22.9555704,22.11176065,-9.640762478,-50.16536287,-39.02885704,-16.58274356,-23.24159215,-10.57228327,-12.11631911,,,
0.088,2,28.71079148,19.39924438,58.84457342,38.00940997,50.2172632,8.270465289,9.639085892,24.17614251,26.80077907,-0.141978395,-50.06531623,-35.77497391,-12.78907941,-25.68862141,-13.02082618,-13.18438545,,,
0.092,2,30.19182125,18.44649337,57.75539088,37.17744678,56.24841139,12.44569378,13.10374562,25.61229975,29.68338991,8.38384099,-50.16705219,-31.71615845,-8.779588676,-28.93756304,-14.10287415,-13.37904236,,,
0.096,3,32.38156454,20.66366593,55.38893593,35.58174326,61.75677332,17.07960244,17.89630324,28.86819579,32.24547087,15.57688873,-49.48634412,-26.19516169,-3.653484259,-31.45080688,-13.77278232,-10.84518635,,,
0.1,3,36.36648023,26.0977325,54.16728739,34.97431685,68.21754195,23.09918091,25.23064711,34.79607137,36.24009266,21.4719722,-45.93171001,-17.98292082,3.734470662,-30.82685596,-12.59822582,-4.61506739,,,
0.104,3,42.34064773,33.35813175,55.69170529,37.23925058,76.85385987,31.07312519,35.20865821,43.03605524,42.62581121,26.13742425,-38.03667584,-6.501783996,13.74222034,-25.62820933,-11.31710525,4.447711637,,,
0.108,3,49.13275684,40.09343031,59.69639576,42.75005002,87.46804998,40.5874275,46.47959368,52.04541099,50.74956361,29.34135936,-26.6472053,7.039135353,25.10815733,-17.02558123,-10.38576357,13.43722616,,,
0.112,3,54.62027954,43.93952416,64.25524069,49.89525186,98.26672666,50.25683165,56.4397437,59.61759283,58.39848499,30.43589101,-14.97540152,19.82650039,35.22580996,-8.599724395,-9.967097488,18.60983159,,,
0.116,3,56.78170061,43.5889956,67.04579019,56.22953446,106.7546693,58.40726553,62.22977861,63.79371165,62.87624689,28.60627089,-6.682092284,29.08929491,41.61672962,-3.997855125,-10.25797218,17.72302975,,,
0.12,3,54.88217267,39.41031957,66.65618028,60.15806528,111.0314242,63.91815641,62.19638165,63.81081869,62.59005334,23.65242795,-3.527405137,33.82740333,43.42215231,-4.350673208,-11.60298218,11.65575033,,,
0.124,3,49.97971512,33.09078318,62.95883281,61.62633165,110.659785,66.5199516,56.7258004,60.44197343,58.08873185,16.86272143,-4.637043068,35.03387027,41.59607058,-7.855626881,-14.17545294,3.656486126,,,
0.128,4,44.11683261,26.46671386,56.64657401,61.43742993,106.6272902,66.47996653,47.96106009,55.41898947,51.68437592,10.80032927,-7.793485542,34.39432123,37.83986918,-11.76136361,-17.65923863,-3.097404861,,,
0.132,4,38.83892098,20.61678151,48.84947791,60.21634816,100.6097483,64.29538802,39.01042605,50.47958552,45.97949912,7.702139124,-11.2195314,32.97311899,33.51421995,-14.62385551,-21.33529672,-7.369195878,,,
0.136,4,34.57503582,16.0173671,41.13023433,58.05820809,94.15632189,60.70805683,33.06692775,46.77817731,42.56653941,7.981538989,-14.31001453,31.0406769,29.35331784,-16.87468588,-24.43190674,-9.897915688,,,
0.139999999,4,31.35285823,13.13439218,35.19990937,54.79377409,88.16300589,56.68010244,32.3040115,44.72348374,41.66307401,10.27808086,-17.27673637,28.65898187,25.64791327,-19.77731083,-26.41995989,-12.19438461,,,
0.143999999,4,29.61707795,12.35991347,32.05487638,50.21589724,82.65973023,52.99002897,36.80629793,43.92351165,42.39569287,12.64118683,-20.55570744,26.02440837,22.33935007,-24.14654757,-27.16630854,-15.28452466,,,
0.147999999,4,29.94108097,13.36513791,31.21438314,44.02721908,76.93128781,49.6515295,44.21199697,43.23551705,43.2522972,13.50257713,-24.48530456,23.27666454,19.03002605,-29.88545699,-26.96307321,-19.15584448,,,
0.152,4,32.0516173,14.83078598,30.78491047,35.76977684,69.9831008,45.74697187,50.48854509,41.1225196,42.65016347,12.02339557,-29.26777342,20.19766644,15.11224397,-36.44060712,-26.38622112,-23.20315141,,,
0.156,4,34.56600645,15.05919569,28.42917412,25.06204144,61.23851796,40.13247116,51.85200348,36.31582616,39.69073547,8.354307516,-35.00382411,16.26988296,10.07239689,-43.53753274,-26.00504045,-27.26443817,,,
0.16,5,35.91354034,13.12630498,22.83420242,12.22149751,51.24025321,32.70326167,47.0878359,28.5757694,34.81767412,3.861246942,-41.48229317,11.21918542,3.965839978,-51.37133424,-26.14022631,-32.00427262,,,
0.163999999,5,35.45226228,9.757259861,14.85456615,-1.157221437,41.89789564,25.0883552,38.58736272,19.17339847,29.79287815,0.592676481,-47.7521499,5.629835472,-2.206048851,-60.01126141,-26.85145607,-37.91093719,,,
0.167999999,5,33.74912006,7.132103406,7.335207177,-12.44672721,35.75683258,19.88302763,30.93295895,10.60983383,26.74575247,-0.056414188,-52.13879939,0.901325867,-6.772911652,-68.70973891,-28.07892954,-44.04656234,,,
0.171999999,5,32.03438942,7.591574769,3.454298983,-19.2927481,34.42025201,18.89755106,27.98382034,5.448451506,26.86039429,1.737116315,-53.17786283,-1.664442993,-8.412144452,-76.00826022,-29.71133992,-48.29495632,,,
0.175999999,5,31.36692109,12.21279619,4.774861325,-21.07999152,37.22576754,21.93568442,30.69533235,4.887653654,29.65901419,4.646779942,-50.78610655,-1.866311272,-7.070996876,-80.65417981,-31.53928387,-48.96791567,,,
0.179999999,5,31.94919005,20.2644826,10.49333592,-19.25846338,41.39570995,27.13072011,37.05187937,8.096122567,33.40394765,7.389585526,-46.4116093,-0.686408733,-3.876852982,-82.44083604,-33.2812508,-45.94084707,,,
0.183999999,5,33.01282505,29.65039909,18.24800776,-16.22547094,43.74209564,32.38032714,43.79018298,12.84578156,36.28915352,9.575854068,-41.91977418,0.614413372,-0.153176748,-82.23380932,-34.75115196,-40.38582522,,,
0.187999999,5,33.44047496,37.83096414,25.56403169,-13.8229949,42.60213961,36.48090696,48.4871066,16.94825829,37.48219018,11.77488654,-38.39318152,1.408671383,3.408551136,-81.34959579,-35.95949997,-33.93975813,,,
0.191999999,6,32.6225127,42.80296592,30.81000386,-12.70846548,38.48087256,39.13717311,50.58124624,19.38820924,37.26216989,14.90226782,-35.98587348,1.74137587,6.665397578,-80.97742465,-36.96432364,-28.18849661,,,
0.195999999,6,30.88754008,43.89191498,33.35388388,-12.73640446,33.18808009,40.38136448,50.94516285,20.45947081,36.39996956,19.2786816,-34.57254504,1.694769024,9.414702726,-81.99234075,-37.60103811,-24.34402392,,,
0.199999999,6,29.38404036,42.06244869,33.36530965,-13.48519921,28.60697092,40.36710221,50.83375445,21.12289373,35.56853597,24.13666168,-34.09951608,0.995565952,11.21619017,-84.90809829,-37.41068803,-22.8696184,,,
0.203999999,6,29.515509,39.48086801,31.63593324,-14.32012688,26.0707748,39.58505632,51.13902993,22.1983046,35.1919877,28.17053982,-34.26736071,-0.675980759,11.89432063,-89.64719956,-35.93201499,-23.33044022,,,
0.207999999,6,31.91623776,38.40671961,29.23527947,-14.31561224,26.16997464,38.75379824,52.02861517,23.75748149,35.39037871,30.54505078,-34.26423571,-3.196788885,11.93165948,-95.29634715,-33.16972171,-24.77083617,,,
0.211999999,6,35.45140041,39.9668316,26.82822772,-12.58920701,28.51228909,38.13339204,52.73587793,24.92050695,35.7453972,31.29400183,-33.1938041,-6.055110688,12.0294124,-100.3587449,-29.81226172,-26.48134548,,,
0.215999999,6,37.38408764,43.52429726,24.20523005,-8.904727053,31.69563795,36.98742606,51.82059187,24.28595935,35.26180728,31.02171773,-30.79670342,-8.841616517,12.25297045,-103.5898672,-26.92091967,-28.58027473,,,
0.219999999,6,35.19771466,47.02222957,20.68615498,-3.91422406,33.91232556,33.95792883,48.18698302,20.88060206,32.87135725,30.47176007,-27.59349958,-11.46774514,11.82048882,-104.7407848,-25.2783892,-31.75084315,,,
0.223999999,7,28.76579369,48.13893469,15.93818798,1.173402771,33.81731844,28.21494208,42.11676067,14.92566558,28.13026049,30.09910997,-24.35526401,-13.92795153,9.827410081,-104.5251493,-24.89530359,-36.22383362,,,
0.227999999,7,20.73121936,45.6018808,10.1201233,5.077445776,30.92369981,20.40465595,35.17151466,7.702398161,21.50588224,29.68819966,-21.65552467,-16.15959982,6.080432624,-103.9768162,-25.03565304,-41.12359,,,
0.231999999,7,14.50688781,39.85338115,3.391718413,6.722615379,25.38619019,12.39248285,28.94127536,0.598873238,14.09797,28.50241683,-19.91898488,-18.28863368,1.205240517,-103.8914804,-24.7528659,-45.02343173,,,
0.235999999,7,11.71743814,32.74616341,-4.155903888,5.468140581,17.66794327,5.941003167,23.85554053,-5.746625702,7.123903695,26.11594932,-19.49964248,-20.77313698,-3.845526039,-104.6134408,-23.58072591,-47.04954481,,,
0.239999999,7,11.29576333,26.60989293,-12.03035283,1.474503828,8.417245961,1.779724217,19.08355082,-11.45108792,1.499410639,23.09669531,-20.39406795,-24.01637119,-8.241909374,-105.942551,-21.83186464,-47.29195079,,,
0.243999999,7,10.58880264,23.11817626,-19.36500892,-4.177978673,-1.689182064,-0.126981399,13.40750622,-16.83701956,-2.442309135,20.6686552,-22.03015298,-27.87312773,-11.49287257,-107.1746363,-20.19604301,-46.43113739,,,
