bq,Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,others1,others2
0,0.0033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,姓名,小A
0,0.0067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,性别,女
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,年龄,0
0,0.0133,-0.2,-0.4,-0.7,-0.4,0.4,0.6,0.6,-0.5,-1.9,0.7,-0.6,0.2,0.2,0.4,0.6,日期,2021/11/9
0,0.0167,-1.3,-1.8,-2.4,-1.9,1.8,2.2,2.1,-1.9,-10.8,2.4,-1.1,1.4,1.2,1.7,2.2,注释,无
0,0.02,-2.5,-2.8,-2.9,-2.9,2.6,2.7,2.1,-2.7,-18.3,2.8,0.8,2.7,2.2,2.3,2.6,,
0,0.0233,-1.1,1,1.8,0.5,-1.5,-2.2,-3.1,1.6,6.6,-2.4,3.9,-0.2,-0.3,-1.6,-2.5,,
0,0.0267,5.4,10,10.8,9.1,-10,-11.4,-10.9,10.4,67,-12.2,2.5,-8.3,-7.3,-9.3,-11.6,,
0,0.03,12.7,13.7,14.4,14.5,-12.5,-13.1,-10,12.9,88.4,-14.3,-4.9,-12.9,-10.7,-10.9,-12.7,,
0,0.0333,8.7,-0.5,0.5,3.4,2.3,4.2,7.9,-2.5,-15.5,3.7,-10.3,-1.5,0,3.5,5.2,,
0,0.0367,-12.7,-27.7,-26.9,-23.7,27.6,31.3,30.6,-28.7,-197.8,32.9,-3.1,23.2,21.3,26.3,31.9,,
0,0.04,-35,-37.5,-39.3,-39.9,33.7,35.5,27.5,-35,-241.8,39.1,14.5,35,29.4,29.6,34.4,,
0,0.0433,-25.9,-1.8,-7.6,-13.1,-3,-6.9,-16.7,3.1,30.3,-4.5,22.1,5.9,1.3,-6.6,-9.5,,
0,0.0467,25.1,60.8,55.3,50,-60.5,-68.4,-67.8,62.9,450.7,-71.2,1.7,-51.5,-48.2,-58.5,-69.7,,
0,0.05,76.4,81.3,85.5,87.1,-72.8,-76.8,-59.8,75.7,524.7,-85.1,-33,-75.7,-63.8,-64.3,-74.2,,
1,0.0533,59,7.5,24.5,33.2,2.7,9.5,30.4,-2.5,-52.9,2.9,-40.3,-14.6,-4.2,10.8,14.8,,
1,0.0567,-43.3,-114.5,-99,-91.5,113.9,128.3,128.7,-118.3,-870.1,132.8,3.4,97.4,92.7,111.3,130.8,,
1,0.06,-143.5,-152.2,-160.4,-163.5,135.9,143.5,112.5,-141.6,-985.1,159.6,63.9,141.6,120.1,120.5,138.6,,
1,0.0633,-113.4,-17.7,-53.7,-66.8,-1.1,-12.5,-51.3,0.5,85.8,1.3,68.3,29.3,9.4,-16.6,-22.1,,
1,0.0667,69.8,197.3,164.4,154.4,-196.2,-220.4,-222.9,203.5,1524.4,-227.2,-14,-168.5,-162,-193.1,-224.8,,
1,0.07,246.6,260.8,275.1,281,-232.5,-245.6,-193.2,242.3,1691.5,-274.1,-112.6,-242.5,-206.5,-206.8,-237,,
1,0.0733,197.8,34.6,101.4,120.3,-2.7,15.1,81.3,4.2,-132.2,-10.1,-108.3,-52.4,-18,24.1,31.3,,
1,0.0767,-106.6,-318,-257.7,-244.8,316.1,354.6,360.9,-327.8,-2488.6,364.4,32.6,272.1,263.9,312.8,361.8,,
1,0.08,-397.1,-419.4,-442.3,-452.4,373.3,394.4,311,-389.3,-2725.2,441.1,185.7,389.8,333.3,333.1,380.6,,
1,0.0833,-321.5,-59.8,-171.9,-199,8.8,-18.1,-124.5,-11.6,197.2,24,166.5,86.5,31.1,-34.3,-43.8,,
1,0.0867,158.5,491.4,390.4,374.1,-488.5,-547.5,-559.5,506.5,3880.7,-561.3,-61.5,-421.3,-410.9,-485.3,-558.5,,
1,0.09,613.2,647,682.1,698.7,-575.4,-608,-480,600.2,4210.8,-681,-292.4,-601.2,-515.8,-514.6,-586.5,,
1,0.0933,499.7,96.3,274.3,312.8,-18.1,21.9,185.9,22.8,-289.4,-44.8,-249.6,-135.6,-50.5,48.3,61,,
0,0.0967,-231.8,-738.8,-579.5,-558.3,734.3,822.5,843.1,-761.3,-5867.8,842.2,103.6,633.9,620.6,731.3,839.2,,
0,0.1,-921.6,-972,-1024.5,-1050.3,864.2,913.1,721.4,-901.5,-6335.7,1023.6,446.5,903.3,777.1,774.4,880.8,,
0,0.1033,-752.9,-146.7,-416.7,-473.2,29.4,-29.9,-276.8,-36.6,427.4,71.1,372.7,204.8,77.8,-69.7,-88.6,,
0,0.1067,342.3,1101.1,860.9,830.2,-1094.4,-1226,-1258.1,1134.7,8761.6,-1255,-159.8,-944.9,-926.2,-1090.8,-1250.9,,
0,0.11,1373.9,1449.5,1527.1,1566.3,-1288.8,-1361.6,-1075.6,1344.2,9455.6,-1526.4,-671.9,-1347.1,-1160.9,-1156,-1313.4,,
0,0.1133,1119.7,213.3,611.8,700.1,-38.5,52.1,421.2,48.6,-658.8,-97,-566.7,-302.4,-115.1,107.8,139.9,,
0,0.1167,-527.8,-1668.5,-1319.1,-1264.9,1658.4,1859.8,1906.1,-1720.1,-13220.9,1906.8,224.1,1429.5,1398.4,1650.4,1897.7,,
