bq,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1,1.4875,1.0688,0.80461,1.6405,0.74196,0.18017,1.2905,0.83493,0.36584,1.936,6.0682,0.43208,0.70906,0.5497,0.61482,2.2588,0.82819,1.5891,0.79614,1.2656,1.1667,1.1586,1.5967,0.91453,0.86321,1.1995,1.1092,1.3547,0.9831,1.1871,1.0577,1.098,1.3247,1.0784,1.317,1.3872,0.81595,1.3761,0.49651,1.172,0.78977,0.83471,0.70733,0.821,1.1112,1.2892,1.0417,0.93387,0.65234,0.79593,0.69467,0.55327,1.2169,0.47714,1.731,0.36986,0.48914,0.24435,0.16287,1.3002,0.28608,0.32374,0.52026,0.34374
1,1.6515,2.0618,0.29127,2.037,1.6938,0.24903,5.0588,1.1892,0.66192,1.0402,1.9817,2.1037,0.53002,0.93825,0.72608,0.84384,0.37699,1.565,1.3924,1.4274,0.93725,1.1936,1.8359,0.97349,0.85041,1.3153,0.98898,1.3028,1.0514,1.0975,1.0377,1.1456,1.2755,1.0031,1.3859,1.5009,0.85645,1.2263,0.54342,1.1135,0.75543,0.83138,0.74036,0.83386,1.0329,1.2433,1.1432,0.89169,0.75323,0.67746,0.77629,0.63913,0.68086,0.48766,1.1299,0.53308,0.42109,0.69459,0.31413,0.99355,0.23755,0.62827,0.41529,0.43859
1,1.5667,1.4616,0.19601,1.827,1.5197,0.24967,5.6095,1.7096,0.59016,1.0213,0.77597,2.676,0.88516,0.91819,0.77726,0.623,0.48957,0.81024,0.87954,1.4268,1.0619,1.2119,1.3563,0.93574,0.79974,1.1996,1.068,1.2653,0.98704,0.94032,0.87725,1.2524,1.0897,1.0209,1.5775,1.218,0.96118,1.15,0.52814,1.2114,0.64424,0.89,0.68629,0.83987,1.0107,1.291,0.92813,0.89046,0.6287,0.74308,0.79542,0.55554,0.51518,0.55981,0.72617,0.44116,0.73481,0.77542,0.21575,0.55234,0.18418,0.57307,0.126,0.41272
1,0.49301,1.8667,0.4682,2.4243,2.0563,0.43709,3.5563,0.85087,0.54122,1.2801,1.0071,3.6083,1.8392,1.0911,1.0324,1.3332,0.63829,0.89561,0.69764,1.4695,0.78936,1.159,1.5794,0.79465,0.82473,1.0236,1.1692,1.2004,0.96827,1.16,0.985,1.2834,1.3087,1.1536,1.3418,1.2581,0.74688,1.2946,0.46916,1.0707,0.82148,0.79631,0.65168,0.75546,1.1331,1.444,1.0024,0.92172,0.80897,0.67963,0.81967,0.49675,0.42137,1.2632,0.75306,0.41172,1.1049,0.49537,0.28189,0.56866,0.12935,1.0105,0.090939,0.23658
1,0.45921,1.3829,0.33487,2.5433,0.61629,0.38502,1.7451,1.0604,0.34926,1.2492,2.9413,4.992,1.0566,1.4264,0.95584,2.8058,0.64392,1.4799,0.78161,1.4542,0.98171,1.3562,1.7149,0.87617,0.77146,1.0506,1.0677,1.3777,1.0716,1.2114,0.83357,1.0688,1.3291,1.098,1.5989,1.4181,0.87859,1.2971,0.39444,1.1497,0.74722,0.96165,0.73549,0.98116,1.0093,1.4226,0.90241,0.8737,0.68161,0.7719,0.68705,0.76392,0.67209,1.1753,1.7128,0.45443,3.5261,0.74193,0.31477,0.6442,0.40045,1.7998,0.31936,0.35267
1,0.62724,0.61218,0.25513,2.2456,0.64823,0.22989,0.58382,0.53,0.33617,0.41032,1.5599,5.7633,1.6751,2.0095,0.71989,2.1253,0.69558,1.0478,1.2721,1.4589,1.0078,1.3091,1.4923,0.82804,0.75337,1.0019,1.0331,1.2458,0.95694,1.1954,0.884,1.3208,1.247,0.99624,1.5123,1.4097,0.88642,1.3104,0.47697,1.1937,0.79305,0.85454,0.65919,0.88523,1.1225,1.3992,0.97056,0.96742,0.72928,0.65366,0.81274,0.75491,0.65607,1.4305,1.2249,0.35148,2.0466,0.49426,0.64003,0.57139,0.5623,0.76686,0.43261,0.57464
1,0.34422,0.32985,0.20311,1.5166,0.42186,0.42579,0.37343,0.87125,0.4069,0.31297,1.1419,5.8752,2.5728,1.9825,0.51483,2.5912,0.51144,0.77604,0.73283,1.305,1.0175,1.1589,1.3374,0.84809,0.76637,1.3949,1.1046,1.2831,1.0327,0.93327,0.95098,1.2408,1.1774,1.2231,1.3184,1.3906,0.89502,1.3583,0.41605,1.0244,0.84485,0.8526,0.78619,0.85391,1.1991,1.4794,0.984,0.86078,0.67632,0.75654,0.65509,0.99658,1.1282,0.61803,1.4518,0.90893,2.3375,0.3271,0.98151,0.93284,0.14639,0.41819,0.17652,0.43714
1,0.9193,0.82438,0.50805,0.98625,1.3281,0.21997,1.6907,1.3277,0.62629,0.55104,1.78,0.91311,2.6986,2.1887,0.61013,2.793,1.1827,1.0445,1.3405,1.4691,0.93907,1.0855,1.3724,1.0333,0.7893,1.4668,1.0233,1.3082,0.91637,1.0751,0.9507,1.1751,1.2169,0.98309,1.5721,1.4109,0.78546,1.2985,0.47556,1.3271,0.70169,0.94644,0.7984,0.84953,1.3274,1.4204,0.92529,0.936,0.74262,0.73496,0.63578,1.1284,1.0685,0.68228,1.1604,0.47545,1.4694,0.68112,1.3887,0.28517,0.17601,0.94901,0.13707,0.11926
1,0.93021,0.75112,1.2517,0.32366,0.53629,0.34399,2.1677,2.6061,0.59694,2.288,0.94932,0.55642,2.6903,1.4241,0.48328,1.3663,1.2128,0.73913,2.1262,1.2443,1.0593,1.3013,1.5268,0.92695,1.0306,1.6513,1.1026,1.3826,0.9432,0.92689,0.87949,1.3004,1.2729,1.1036,1.5455,1.2697,0.77832,1.2678,0.46942,1.0543,0.92311,0.84755,0.75941,0.83822,1.3158,1.651,0.79521,0.77791,0.74714,0.7008,0.67495,1.2847,1.0459,0.47888,0.46322,0.36149,0.58933,0.61697,0.63364,0.23331,0.16733,1.2578,0.079901,0.23504
1,0.7784,0.57228,1.499,0.2765,0.32524,1.2518,0.63703,0.41473,0.30137,3.0764,1.6698,0.94292,0.7638,0.61311,0.53316,0.65811,0.68161,0.85467,2.7097,1.2923,1.1367,1.1503,1.5447,0.9107,1.1811,1.6031,1.2129,1.1053,1.1073,1.0145,0.9096,1.1424,1.1158,1.1809,1.6155,1.3548,0.82214,1.3179,0.48102,1.525,0.89857,0.78153,0.83767,1.0166,1.2223,1.577,0.98148,0.7824,0.60059,0.67904,0.56449,1.4274,0.39729,0.72337,0.41855,0.57464,0.47419,0.55202,0.291,0.1895,0.14021,1.405,0.095059,0.17897
